TF_id,TG_id,Index
BSU_35230,BSU_16410,1
BSU_35230,BSU_16290,1
BSU_35230,BSU_16450,1
BSU_35230,BSU_16260,1
BSU_35080,BSU_35070,1
BSU_35080,BSU_35060,1
BSU_35080,BSU_35080,1
BSU_35080,BSU_35090,1
BSU_35080,BSU_10730,1
BSU_35030,BSU_35020,1
BSU_35030,BSU_35030,1
BSU_35030,BSU_35010,1
BSU_35030,BSU_07700,1
BSU_35030,BSU_07670,1
BSU_35030,BSU_07690,1
BSU_35030,BSU_07680,1
BSU_34720,BSU_34700,1
BSU_34720,BSU_34720,1
BSU_34720,BSU_34710,1
BSU_34720,BSU_34690,1
BSU_34630,BSU_34610,1
BSU_34630,BSU_34570,1
BSU_34630,BSU_34580,1
BSU_34630,BSU_34560,1
BSU_34630,BSU_34620,1
BSU_34630,BSU_34550,1
BSU_34630,BSU_34590,1
BSU_34630,BSU_34630,1
BSU_34630,BSU_34600,1
BSU_34380,BSU_35640,1
BSU_34380,BSU_35620,1
BSU_34380,BSU_35630,1
BSU_34380,BSU_09370,1
BSU_34180,BSU_34040,1
BSU_34180,BSU_34030,1
BSU_34180,BSU_34050,1
BSU_34180,BSU_24630,1
BSU_34180,BSU_24640,1
BSU_34180,BSU_24620,1
BSU_34180,BSU_34190,1
BSU_34180,BSU_31080,1
BSU_34170,BSU_34140,1
BSU_34170,BSU_34150,1
BSU_34170,BSU_34120,1
BSU_34170,BSU_34160,1
BSU_34170,BSU_34130,1
BSU_34170,BSU_34170,1
BSU_33970,BSU_33960,1
BSU_33970,BSU_33970,1
BSU_33970,BSU_28800,1
BSU_33970,BSU_28760,1
BSU_33970,BSU_28720,1
BSU_33970,BSU_28780,1
BSU_33970,BSU_28740,1
BSU_33970,BSU_28730,1
BSU_33970,BSU_28770,1
BSU_33970,BSU_28750,1
BSU_33970,BSU_28790,1
BSU_33970,BSU_28810,1
BSU_33970,BSU_28510,1
BSU_33950,BSU_33920,1
BSU_33950,BSU_33900,1
BSU_33950,BSU_33950,1
BSU_33950,BSU_33910,1
BSU_33950,BSU_33940,1
BSU_33950,BSU_33930,1
BSU_33950,BSU_33950,1
BSU_33950,BSU_33940,1
BSU_33840,BSU_33700,1
BSU_33840,BSU_33730,1
BSU_33840,BSU_33720,1
BSU_33840,BSU_33710,1
BSU_33840,BSU_33830,1
BSU_33840,BSU_33800,1
BSU_33840,BSU_33820,1
BSU_33840,BSU_33810,1
BSU_33790,BSU_32830,1
BSU_33790,BSU_32840,1
BSU_33790,BSU_32820,1
BSU_33790,BSU_32830,1
BSU_33790,BSU_32840,1
BSU_33790,BSU_32820,1
BSU_33790,BSU_32850,1
BSU_33790,BSU_33790,1
BSU_33790,BSU_33780,1
BSU_33680,BSU_08240,1
BSU_33680,BSU_08230,1
BSU_33660,BSU_06839,1
BSU_33660,BSU_06839,1
BSU_33660,BSU_06830,1
BSU_33660,BSU_36380,1
BSU_33660,BSU_33640,1
BSU_33660,BSU_40310,1
BSU_33660,BSU_40300,1
BSU_33520,BSU_19900,1
BSU_33520,BSU_19830,1
BSU_33520,BSU_19850,1
BSU_33520,BSU_19820,1
BSU_33520,BSU_19920,1
BSU_33520,BSU_19880,1
BSU_33520,BSU_19910,1
BSU_33520,BSU_19930,1
BSU_33520,BSU_19870,1
BSU_33520,BSU_19970,1
BSU_33520,BSU_19940,1
BSU_33520,BSU_19860,1
BSU_33520,BSU_19890,1
BSU_33520,BSU_33510,1
BSU_33520,BSU_33500,1
BSU_33221,BSU_35640,1
BSU_33221,BSU_35620,1
BSU_33221,BSU_35630,1
BSU_33221,BSU_21440,1
BSU_33221,BSU_21480,1
BSU_33221,BSU_21470,1
BSU_33221,BSU_21450,1
BSU_33221,BSU_21460,1
BSU_33221,BSU_38510,1
BSU_33221,BSU_38540,1
BSU_33221,BSU_38499,1
BSU_33221,BSU_38500,1
BSU_33221,BSU_38520,1
BSU_33221,BSU_38530,1
BSU_33221,BSU_33230,1
BSU_33221,BSU_33222,1
BSU_33221,BSU_39230,1
BSU_33221,BSU_39220,1
BSU_33221,BSU_10770,1
BSU_33221,BSU_23090,1
BSU_33221,BSU_23100,1
BSU_33080,BSU_09340,1
BSU_33080,BSU_09320,1
BSU_33080,BSU_09330,1
BSU_33080,BSU_33120,1
BSU_33080,BSU_33130,1
BSU_33080,BSU_33080,1
BSU_33080,BSU_33090,1
BSU_33080,BSU_33110,1
BSU_33080,BSU_33100,1
BSU_33080,BSU_05720,1
BSU_33030,BSU_33029,1
BSU_33010,BSU_33020,1
BSU_33010,BSU_33010,1
BSU_33010,BSU_33000,1
BSU_33010,BSU_12900,1
BSU_33010,BSU_33029,1
BSU_32870,BSU_32880,1
BSU_32870,BSU_32870,1
BSU_32560,BSU_32580,1
BSU_32560,BSU_32550,1
BSU_32560,BSU_32590,1
BSU_32560,BSU_32600,1
BSU_32560,BSU_32570,1
BSU_32560,BSU_32610,1
BSU_32420,BSU_32470,1
BSU_32420,BSU_32500,1
BSU_32420,BSU_32480,1
BSU_32420,BSU_32510,1
BSU_32420,BSU_32490,1
BSU_32420,BSU_32450,1
BSU_32420,BSU_32440,1
BSU_32420,BSU_32430,1
BSU_32420,BSU_32460,1
BSU_32420,BSU_13170,1
BSU_32420,BSU_32450,1
BSU_32420,BSU_32440,1
BSU_32420,BSU_32420,1
BSU_32420,BSU_32430,1
BSU_32420,BSU_32460,1
BSU_32420,BSU_36660,1
BSU_32420,BSU_36650,1
BSU_32420,BSU_36640,1
BSU_32420,BSU_36470,1
BSU_32420,BSU_32410,1
BSU_32420,BSU_32520,1
BSU_32420,BSU_32530,1
BSU_31920,BSU_31930,1
BSU_31680,BSU_12430,1
BSU_31680,BSU_12440,1
BSU_31680,BSU_37460,1
BSU_31680,BSU_37470,1
BSU_31680,BSU_07560,1
BSU_31680,BSU_25840,1
BSU_31680,BSU_05010,1
BSU_31680,BSU_05020,1
BSU_31680,BSU_03770,1
BSU_31680,BSU_03780,1
BSU_31680,BSU_03510,1
BSU_31680,BSU_03490,1
BSU_31680,BSU_03500,1
BSU_31680,BSU_03480,1
BSU_31680,BSU_03520,1
BSU_31680,BSU_03530,1
BSU_31680,BSU_37480,1
BSU_31680,BSU_25830,1
BSU_31680,BSU_25840,1
BSU_31680,BSU_15910,1
BSU_31680,BSU_15920,1
BSU_31680,BSU_15890,1
BSU_31680,BSU_15900,1
BSU_31680,BSU_15880,1
BSU_31680,BSU_34190,1
BSU_31680,BSU_31720,1
BSU_31530,BSU_37040,1
BSU_31530,BSU_37050,1
BSU_31530,BSU_31580,1
BSU_31530,BSU_07570,1
BSU_31210,BSU_31190,1
BSU_31210,BSU_31200,1
BSU_31210,BSU_31220,1
BSU_31210,BSU_31210,1
BSU_31210,BSU_31180,1
BSU_31070,BSU_33700,1
BSU_31070,BSU_33730,1
BSU_31070,BSU_33720,1
BSU_31070,BSU_33710,1
BSU_31070,BSU_31060,1
BSU_31070,BSU_31050,1
BSU_30460,BSU_30440,1
BSU_30460,BSU_30420,1
BSU_30460,BSU_30460,1
BSU_30460,BSU_30410,1
BSU_30460,BSU_30430,1
BSU_30460,BSU_30450,1
BSU_30460,BSU_36500,1
BSU_30460,BSU_36480,1
BSU_30460,BSU_36490,1
BSU_30400,BSU_30380,1
BSU_30400,BSU_30370,1
BSU_30260,BSU_30280,1
BSU_30260,BSU_30290,1
