regulator,TF_id,gene_name,gene_id,effect,evidence,source
IHF,"b1712,b0912",atoB,b2224,+,1,RegulonDB_TF
IHF,"b1712,b0912",atoA,b2222,+,1,RegulonDB_TF
IHF,"b1712,b0912",adiA,b4117,+,1,RegulonDB_TF
IHF,"b1712,b0912",actP,b4067,-,1,RegulonDB_TF
IHF,"b1712,b0912",acs,b4069,-,1,RegulonDB_TF
IHF,"b1712,b0912",aceK,b4016,+,1,RegulonDB_TF
HipB,b1508,mazF,b2782,-,1,RegulonDB_TF
IHF,"b1712,b0912",aceB,b4014,+,1,RegulonDB_TF
HypT,b4327,metQ,b0197,+,1,RegulonDB_TF
HypT,b4327,metN,b0199,+,1,RegulonDB_TF
HypT,b4327,metI,b0198,+,1,RegulonDB_TF
HypT,b4327,cydB,b0734,+,1,RegulonDB_TF
HypT,b4327,cydA,b0733,+,1,RegulonDB_TF
HprR,b1969,hiuH,b1970,+,1,RegulonDB_TF
HprR,b1969,cusS,b0570,+,1,RegulonDB_TF
HprR,b1969,cusR,b0571,+,1,RegulonDB_TF
HprR,b1969,cusF,b0573,+,1,RegulonDB_TF
HprR,b1969,cusC,b0572,+,1,RegulonDB_TF
HprR,b1969,cusB,b0574,+,1,RegulonDB_TF
HprR,b1969,cusA,b0575,+,1,RegulonDB_TF
IHF,"b1712,b0912",aceA,b4015,+,1,RegulonDB_TF
GadW,b3515,gadB,b1493,?,1,RegulonDB_TF
HU,"b4000,b0440",galE,b0759,-,1,RegulonDB_TF
H-NS,b1237,yjjP,b4364,-,1,RegulonDB_TF
H-NS,b1237,lrp,b0889,-,1,RegulonDB_TF
H-NS,b1237,leuO,b0076,-,1,RegulonDB_TF
H-NS,b1237,lacZ,b0344,-,1,RegulonDB_TF
H-NS,b1237,lacY,b0343,-,1,RegulonDB_TF
H-NS,b1237,lacA,b0342,-,1,RegulonDB_TF
H-NS,b1237,hns,b1237,-,1,RegulonDB_TF
H-NS,b1237,hlyE,b1182,?,1,RegulonDB_TF
H-NS,b1237,hdfR,b4480,-,1,RegulonDB_TF
H-NS,b1237,hdeD,b3511,-,1,RegulonDB_TF
H-NS,b1237,hdeB,b3509,-,1,RegulonDB_TF
H-NS,b1237,hdeA,b3510,-,1,RegulonDB_TF
H-NS,b1237,hchA,b1967,-,1,RegulonDB_TF
H-NS,b1237,mdtE,b3513,-,1,RegulonDB_TF
H-NS,b1237,gspO,b3335,-,1,RegulonDB_TF
H-NS,b1237,gspL,b3333,-,1,RegulonDB_TF
H-NS,b1237,gspK,b3332,-,1,RegulonDB_TF
H-NS,b1237,gspJ,b3331,-,1,RegulonDB_TF
H-NS,b1237,gspI,b3330,-,1,RegulonDB_TF
H-NS,b1237,gspH,b3329,-,1,RegulonDB_TF
H-NS,b1237,gspG,b3328,-,1,RegulonDB_TF
H-NS,b1237,gspF,b3327,-,1,RegulonDB_TF
